id,name,race,type,frameType,tcg_date
34541863,"""A"" Cell Breeding Device",Continuous,Spell Card,spell,2007-05-16
64163367,"""A"" Cell Incubator",Continuous,Spell Card,spell,2007-11-14
91231901,"""A"" Cell Recombination Device",Quick-Play,Spell Card,spell,2016-11-03
73262676,"""A"" Cell Scatter Burst",Quick-Play,Spell Card,spell,2007-02-28
98319530,"""Infernoble Arms - Almace""",Equip,Spell Card,spell,2023-07-27
37478723,"""Infernoble Arms - Durendal""",Equip,Spell Card,spell,2020-08-06
64867422,"""Infernoble Arms - Hauteclere""",Equip,Spell Card,spell,2020-08-06
90861137,"""Infernoble Arms - Joyeuse""",Equip,Spell Card,spell,2020-08-06
44256816,1st Movement Solo,Normal,Spell Card,spell,2014-11-06
86988864,3-Hump Lacooda,Beast,Effect Monster,effect,2004-06-01
11714098,"30,000-Year White Turtle",Aqua,Normal Monster,normal,
83994646,4-Starred Ladybug of Doom,Insect,Flip Effect Monster,effect,2002-10-20
67048711,7,Continuous,Spell Card,spell,2004-06-01
23771716,7 Colored Fish,Fish,Normal Monster,normal,2002-06-26
86198326,7 Completed,Equip,Spell Card,spell,2002-10-20
14261867,8-Claws Scorpion,Insect,Effect Monster,effect,2003-07-18
24140059,A Cat of Ill Omen,Beast,Flip Effect Monster,effect,2003-07-18
6850209,A Deal with Dark Ruler,Quick-Play,Spell Card,spell,2003-12-01
49140998,A Feather of the Phoenix,Normal,Spell Card,spell,2005-02-26
68170903,A Feint Plan,Normal,Trap Card,trap,2003-06-06
21597117,A Hero Emerges,Normal,Trap Card,trap,2004-03-01
8949584,A Hero Lives,Normal,Spell Card,spell,2011-08-06
295517,A Legendary Ocean,Field,Spell Card,spell,2003-06-06
32207100,A Major Upset,Normal,Trap Card,trap,2009-09-01
51351302,A Man with Wdjat,Spellcaster,Effect Monster,effect,2003-07-18
5728014,A Rival Appears!,Normal,Trap Card,trap,2005-08-06
44553392,"A Shattered, Colorless Realm",Normal,Trap Card,trap,2023-05-04
23587624,A Wild Monster Appears!,Normal,Spell Card,spell,2015-01-15
28596933,A Wingbeat of Giant Dragon,Normal,Spell Card,spell,2003-06-06
30012506,A-Assault Core,Machine,Union Effect Monster,effect,2016-10-20
13026402,A-Team: Trap Disposal Unit,Machine,Effect Monster,effect,2004-11-20
75926389,A-to-Z Energy Load,Normal,Trap Card,trap,
65172015,A-to-Z-Dragon Buster Cannon,Machine,Fusion Monster,fusion,2016-10-20
28645123,A.I. Challenge You,Continuous,Trap Card,trap,2021-06-03
10493654,A.I. Contact,Normal,Spell Card,spell,2020-04-30
59332125,A.I. Love Fusion,Normal,Spell Card,spell,2020-01-30
6552971,A.I. Meet You,Normal,Spell Card,spell,2021-06-03
77421977,A.I. Shadow,Continuous,Trap Card,trap,2020-01-30
85327820,A.I.'s Ritual,Ritual,Spell Card,spell,2020-01-30
54374642,A.I.'s Show,Normal,Trap Card,trap,2021-12-02
22933016,A.I.dle Reborn,Quick-Play,Spell Card,spell,2020-01-30
69381150,A.I.Q,Continuous,Trap Card,trap,2020-04-30
96146814,A/D Changer,Warrior,Effect Monster,effect,2010-08-07
12694768,Abaki,Fiend,Effect Monster,effect,2006-11-15
89718302,Abare Ushioni,Beast-Warrior,Effect Monster,effect,2005-03-01
1561110,ABC-Dragon Buster,Machine,Fusion Monster,fusion,2016-10-20
80801743,Abominable Chamber of the Unchained,Normal,Trap Card,trap,2019-10-24
1966438,Abominable Unchained Soul,Fiend,Effect Monster,effect,2020-01-30
27412542,Abomination's Prison,Normal,Spell Card,spell,2019-10-24
70832512,Absolute Crusader,Warrior,Effect Monster,effect,2011-08-06
27744077,Absolute End,Normal,Trap Card,trap,2004-10-01
27553701,Absolute King - Megaplunder,Dinosaur,Normal Monster,normal,
60990740,Absolute King Back Jack,Fiend,Effect Monster,effect,2015-03-19
51779204,Absolute Powerforce,Quick-Play,Spell Card,spell,2023-09-21
71422989,Absorb Fusion,Normal,Spell Card,spell,2015-08-06
3900605,Absorbing Jar,Rock,Flip Effect Monster,effect,2012-04-28
49771608,Absorbing Kid from the Sky,Fairy,Effect Monster,effect,2004-06-01
67748760,Absorouter Dragon,Dragon,Effect Monster,effect,2019-08-15
15308295,Abyss Actor - Comic Relief,Fiend,Pendulum Effect Monster,effect_pendulum,2018-09-27
44179224,Abyss Actor - Curtain Raiser,Fiend,Pendulum Effect Monster,effect_pendulum,2017-07-06
52240819,Abyss Actor - Evil Heel,Fiend,Pendulum Effect Monster,effect_pendulum,2016-11-17
88412339,Abyss Actor - Extras,Fiend,Pendulum Effect Monster,effect_pendulum,2016-11-17
99634927,Abyss Actor - Funky Comedian,Fiend,Pendulum Effect Monster,effect_pendulum,2016-11-17
2368215,Abyss Actor - Hyper Director,Fiend,Link Monster,link,2020-03-19
24907044,Abyss Actor - Leading Lady,Fiend,Pendulum Effect Monster,effect_pendulum,2016-11-17
65477143,Abyss Actor - Liberty Dramatist,Fiend,Pendulum Effect Monster,effect_pendulum,2023-02-09
78310590,Abyss Actor - Mellow Madonna,Fiend,Pendulum Effect Monster,effect_pendulum,2018-09-27
51028231,Abyss Actor - Sassy Rookie,Fiend,Pendulum Effect Monster,effect_pendulum,2016-11-17
47404795,Abyss Actor - Super Producer,Fiend,Link Monster,link,2023-02-09
25629622,Abyss Actor - Superstar,Fiend,Pendulum Effect Monster,effect_pendulum,2016-11-17
39024589,Abyss Actor - Trendy Understudy,Fiend,Pendulum Effect Monster,effect_pendulum,2017-08-03
7279373,Abyss Actor - Twinkle Little Star,Fiend,Pendulum Effect Monster,effect_pendulum,2020-08-06
51391183,Abyss Actor - Wild Hope,Fiend,Pendulum Effect Monster,effect_pendulum,2016-11-17
59057953,Abyss Actors Back Stage,Normal,Trap Card,trap,2016-11-17
4682617,Abyss Actors' Curtain Call,Normal,Trap Card,trap,2018-09-27
6004133,Abyss Actors' Dress Rehearsal,Normal,Spell Card,spell,2023-02-09
21044178,Abyss Dweller,Sea Serpent,XYZ Monster,xyz,2012-11-09
40387124,Abyss Flower,Plant,Normal Monster,normal,
82184400,Abyss Keeper,Fish,Link Monster,link,2021-11-04
77297908,Abyss Playhouse - Fantastic Theater,Field,Spell Card,spell,2018-09-27
86578200,Abyss Prop - Wild Wagon,Continuous,Spell Card,spell,2016-11-17
70564929,Abyss Script - Abysstainment,Continuous,Spell Card,spell,2017-07-06
33503878,Abyss Script - Dramatic Story,Normal,Spell Card,spell,2023-02-09
87390798,Abyss Script - Fantasy Magic,Normal,Spell Card,spell,2016-11-17
50179591,Abyss Script - Fire Dragon's Lair,Normal,Spell Card,spell,2016-11-17
23784496,Abyss Script - Opening Ceremony,Normal,Spell Card,spell,2016-11-17
13662809,Abyss Script - Rise of the Abyss King,Normal,Spell Card,spell,2016-11-17
41803903,Abyss Script - Romantic Terror,Quick-Play,Spell Card,spell,2018-09-27
61496006,Abyss Shark,Fish,Effect Monster,effect,2022-06-16
18318842,Abyss Soldier,Aqua,Effect Monster,effect,2004-11-26
97232518,Abyss Stungray,Continuous,Trap Card,trap,2015-05-14
88409165,Abyss Warrior,Aqua,Effect Monster,effect,2012-11-09
19596712,Abyss-scale of Cetus,Equip,Spell Card,spell,2013-01-25
8719957,Abyss-scale of the Kraken,Equip,Spell Card,spell,2012-11-09
72932673,Abyss-scale of the Mizuchi,Equip,Spell Card,spell,2013-05-17
79206750,Abyss-scorn,Normal,Trap Card,trap,2013-01-25
60202749,Abyss-sphere,Continuous,Trap Card,trap,2012-11-09
34707034,Abyss-squall,Normal,Trap Card,trap,2012-11-09
81878201,Abyss-sting Triaina,Equip,Spell Card,spell,2024-07-27
97697447,Abyss-strom,Normal,Trap Card,trap,2012-11-09
89801755,Abyssal Designator,Normal,Spell Card,spell,2004-10-01
44223284,Abyssal Kingshark,Fish,Effect Monster,effect,2007-08-15
17080584,"Abyssrhine, the Atlantean Spirit",Aqua,Effect Monster,effect,2024-07-27
30983281,Accel Synchro Stardust Dragon,Dragon,Synchro Monster,synchro,2023-03-09
37675907,Accel Synchron,Machine,Synchro Tuner Monster,synchro,2015-08-27
34838437,Accellight,Normal,Spell Card,spell,2013-03-07
86066372,Accesscode Talker,Cyberse,Link Monster,link,2020-04-30
98444741,Accumulated Fortune,Normal,Trap Card,trap,2006-11-15
10796448,Ace★Spades Speculation,Warrior,Fusion Monster,fusion,2024-06-20
98865920,Achacha Archer,Warrior,Effect Monster,effect,2011-08-06
62476197,Achacha Chanbara,Warrior,Effect Monster,effect,2012-11-09
15808381,Achichi @Ignister,Cyberse,Effect Monster,effect,2020-01-30
77568553,Acid Crawler,Insect,Normal Monster,normal,
21323861,Acid Rain,Normal,Spell Card,spell,2005-06-30
41356845,Acid Trap Hole,Normal,Trap Card,trap,2002-03-19
35956022,Acidic Downpour,Field,Spell Card,spell,2008-01-26
21051977,Acorno,Plant,Effect Monster,effect,2011-11-10
47372349,Acrobat Monkey,Machine,Normal Monster,normal,2003-12-01
33656832,Acrobatic Magician,Spellcaster,Pendulum Effect Monster,effect_pendulum,2016-08-04
35498188,Action Magic - Double Banking,Quick-Play,Spell Card,spell,2019-10-24
99004583,Action Magic - Full Turn,Quick-Play,Spell Card,spell,2019-10-24
81555617,Ad Libitum of Despia,Fairy,Effect Monster,effect,2021-11-04
11302671,Adamancipator Analyzer,Rock,Tuner Monster,effect,2020-04-03
10286023,Adamancipator Crystal - Dragite,Rock,Effect Monster,effect,2020-04-03
47897376,Adamancipator Crystal - Leonite,Rock,Effect Monster,effect,2020-04-03
74891384,Adamancipator Crystal - Raptite,Rock,Effect Monster,effect,2020-04-03
99927991,Adamancipator Friends,Normal,Spell Card,spell,2020-08-06
46552140,Adamancipator Laputite,Field,Spell Card,spell,2020-04-03
9341993,Adamancipator Relief,Normal,Trap Card,trap,2020-04-03
85914562,Adamancipator Researcher,Rock,Tuner Monster,effect,2020-04-03
45730592,Adamancipator Resonance,Counter,Trap Card,trap,2020-04-03
9464441,Adamancipator Risen - Dragite,Rock,Synchro Monster,synchro,2020-04-03
47674738,Adamancipator Risen - Leonite,Rock,Synchro Monster,synchro,2020-04-03
73079836,Adamancipator Risen - Raptite,Rock,Synchro Monster,synchro,2020-04-03
48519867,Adamancipator Seeker,Rock,Tuner Monster,effect,2020-04-03
72957245,Adamancipator Signs,Normal,Spell Card,spell,2020-04-03
23812568,Additional Mirror Level 7,Quick-Play,Spell Card,spell,2023-06-22
62325062,Adhesion Trap Hole,Normal,Trap Card,trap,2003-10-10
53828396,Adhesive Explosive,Machine,Effect Monster,effect,2006-02-18
94119480,"Adreus, Keeper of Armageddon",Fiend,XYZ Monster,xyz,2011-08-06
15464375,Adularia of the June Moon,Spellcaster,Effect Monster,effect,2023-05-04
51630558,Advance Draw,Normal,Spell Card,spell,2009-09-01
38589847,Advance Force,Continuous,Spell Card,spell,2010-02-12
76224717,Advance Zone,Continuous,Spell Card,spell,2012-08-18
18847598,Advanced Crystal Beast Amber Mammoth,Beast,Effect Monster,effect,2022-11-17
19963185,Advanced Crystal Beast Amethyst Cat,Beast,Effect Monster,effect,2022-11-17
45236142,Advanced Crystal Beast Cobalt Eagle,Winged Beast,Effect Monster,effect,2022-11-17
46358784,Advanced Crystal Beast Emerald Tortoise,Aqua,Effect Monster,effect,2022-11-17
83575471,Advanced Crystal Beast Ruby Carbuncle,Fairy,Effect Monster,effect,2022-11-17
71620241,Advanced Crystal Beast Sapphire Pegasus,Beast,Effect Monster,effect,2022-11-17
72843899,Advanced Crystal Beast Topaz Tiger,Beast,Effect Monster,effect,2022-11-17
12644061,Advanced Dark,Field,Spell Card,spell,2012-08-18
61314842,Advanced Heraldry Art,Normal,Spell Card,spell,2012-11-09
46052429,Advanced Ritual Art,Ritual,Spell Card,spell,2007-02-28
10678778,Aegaion the Sea Castrum,Machine,XYZ Monster,xyz,2016-01-14
47060347,Aegis of Gaia,Continuous,Trap Card,trap,2007-02-28
7935043,Aegis of the Ocean Dragon Lord,Normal,Trap Card,trap,2009-09-01
28143384,Aerial Eater,Fiend,Fusion Monster,fusion,2024-07-18
70875955,Aerial Recharge,Continuous,Trap Card,trap,2013-05-17
83094004,Aeropixthree,Fairy,Tuner Monster,effect,2021-08-12
56804361,"Aether, the Empowering Dragon",Dragon,Effect Monster,effect,2014-07-10
28865322,"Aether, the Evil Empowering Dragon",Dragon,Pendulum Effect Monster,effect_pendulum,2016-09-01
82263578,After the Storm,Normal,Spell Card,spell,2013-01-25
25345186,After the Struggle,Normal,Spell Card,spell,2003-06-06
43575579,Afterglow,Normal,Spell Card,spell,2020-06-18
64952266,Against the Wind,Normal,Spell Card,spell,2009-05-02
2411269,Agave Dragon,Wyrm,Link Monster,link,2018-10-18
27822206,Ages of Stars and Frost,Quick-Play,Spell Card,spell,2024-02-08
16135253,Agido,Fairy,Effect Monster,effect,2003-12-01
62320425,Agido the Ancient Sentinel,Fairy,Effect Monster,effect,2022-11-03
13014905,Agnimal Candle,Pyro,Tuner Monster,effect,2023-07-27
86377375,"Ahrima, the Wicked Warden",Fiend,Effect Monster,effect,2018-04-19
96084564,Aileron,Machine,Effect Monster,effect,2022-11-03
